name,generic_name,category,unit,description,side_effect,source_url
Adcetris (Brentuximab Vedotin),brentuximab vedotin,"Antineoplastics, Antimicrotubular, Anti-Nectin-4 Monoclonal Antibodies, Antineoplastics, Anti-CD30 Monoclonal Antibodies",single–use vials when reconstituted with 10,Adcetris (brentuximab vedotin) is an antibody conjugated drug (a combination of three components) indicated for treatment of patients with Hodgkin lymphoma (Hodgkin's disease) and for the treatment of patients with systemic anaplastic large cell lymphoma (sALCL). Adcetris is to be used in patients who have received two prior chemotherapy treatments and cannot receive a transplant. Adcetris may also be used in patients with ALCL whose disease has progressed after one prior chemotherapy treatment.,"Adcetris may cause serious side effects including: hives, difficulty breathing, swelling of your face, lips, tongue, or throat, fever, sore throat, burning in your eyes, skin pain, red or purple skin rash that spreads and causes blistering and peeling, dizziness, nausea, chills, itching, difficulty with speech, thought, vision, or muscle movement, numbness, weakness, burning pain, tingly feeling, loss of feeling in your arms or legs, sudden chest pain or pressure, wheezing, dry cough, shortness of breath, pain or burning when you urinate, increased thirst, increased urination, dry mouth, fruity breath odor, vomiting, stomach pain, confusion, unusual drowsiness, fever, tiredness, mouth sores, skin sores, easy bruising, unusual bleeding, pale skin, cold hands and feet, lightheadedness, muscle cramps, fast or slow heart rate, decreased urination, tingling in your hands and feet or around your mouth, severe pain in your upper stomach spreading to your back, loss of appetite, stomach pain spreading to your upper right side, dark urine, yellowing of the skin or eyes (jaundice), severe constipation, new or worsening stomach pain, bloody or tarry stools, coughing up blood, and vomiting that looks like coffee grounds Get medical help right away, if you have any of the symptoms listed above. Common side effects of Adcetris include: fatigue, upper respiratory tract infection, nausea, diarrhea, anemia, fever, rash or itching, stomach or abdominal pain, cough, vomiting, tired feeling, constipation, weight loss, swelling in your hands or feet, dry skin, hair loss, headache, dizziness, anxiety, muscle spasm, muscle or joint pain, night sweats, sleep problems (insomnia), low white blood cell count or low blood platelet count (neutropenia or thrombocytopenia), or tingling or numbness in the hands and feet. Tell your doctor if you have any serious side effects, even if they occur several months after you receive Adcetris, or after your treatment with Adcetris ends:",https://www.rxlist.com/adcetris-drug.htm
Adcirca (Tadalafil Tablets),tadalafil tablets,"PAH, PDE-5 Inhibitors, Phosphodiesterase-5 Enzyme Inhibitors",The recommended dose of Adcirca is 40 mg (two 20 mg tablets) taken once daily with or without food.,Adcirca (tadalafil) is a phosphodiesterase-5 (PDE5) inhibitor used to treat pulmonary arterial hypertension and improve exercise capacity in men and women. The Cialis brand of tadalafil is used to treat erectile dysfunction (impotence) and symptoms of benign prostatic hypertrophy (enlarged prostate).,"Common side effects of Adcirca include: flushing (redness or warmth in your face, neck, or chest), cold symptoms (such as stuffy nose, sneezing, or sore throat), headache, memory problems, diarrhea, upset stomach, muscle pain, or back pain. Contact your doctor if you have serious side effects of Adcirca including: chest pain, shortness of breath, seizures (convulsions), lightheadedness or fainting, changes in vision or sudden hearing loss, ringing in your ears, pain spreading to the arm or shoulder, irregular heartbeat, or an erection lasting 4 hours or more. Adcirca may cause serious side effects including: hives, difficulty breathing, swelling of your face, lips, tongue, or throat, chest pain or pressure, pain spreading to your jaw or shoulder, nausea, sweating, sudden vision loss, vision changes, ringing in your ears, sudden hearing loss, and an erection that is painful or lasts longer than 4 hours",https://www.rxlist.com/adcirca-drug.htm
"Adderall (Amphetamine, Dextroamphetamine Mixed Salts)","amphetamine, dextroamphetamine mixed salts","Stimulants, ADHD Agents",The usual dose of Adderall is 2.5-60 mg daily administered in one or three doses.,Adderall (amphetamine and dextroamphetamine salts) is an amphetamine used for treating: attention deficit hyperactivity disorder (ADHD) and narcolepsy,"Adderall may cause serious side effects including: chest pain, trouble breathing, lightheadedness, hallucinations, new behavioral problems, aggression, paranoia, hostility, numbness, pain, feeling cold, unexplained wounds, skin color changes to fingers or toes, seizures (convulsion), muscle twitches (tics), vision changes, Get medical help right away, if you have any of the symptoms listed above. Side effects of Adderall include: nervousness, restlessness, excitability, irritability, agitation, dizziness, headache, fear, anxiety, agitation, tremor, weakness, blurred vision, sleep problems (insomnia), dry mouth or unpleasant taste in the mouth, diarrhea, constipation, stomach pain, nausea, vomiting, fever, hair loss, loss of appetite, weight loss, loss of interest in sex, impotence, difficulty having an orgasm, increase blood pressure, increased heart rate, and heart palpitations. Seek medical care or call 911 at once if you have the following serious side effects:",https://www.rxlist.com/adderall-drug.htm
"Adderall XR (Amphetamine, Dextroamphetamine Mixed Salts)","amphetamine, dextroamphetamine mixed salts",Stimulants,capsules in the following,Adderall XR (amphetamine and dextroamphetamine salts) is a central nervous system (CNS) stimulant used for treating attention deficit hyperactivity disorder (ADHD) and narcolepsy.,"Side effects of Adderall XR include nervousness, restlessness, excitability, dizziness, headache, weakness, fear, anxiety, irritability, agitation, blurred vision, sleep problems (insomnia), dry mouth, unpleasant taste in mouth, diarrhea, constipation, stomach pain, nausea, vomiting, fever, hair loss, loss of appetite, weight loss, tremor, loss of interest in sex, impotence, difficulty having an orgasm, increased blood pressure, increased heart rate, and palpitations. Adderall XR is habit forming and chronic use may lead to dependence.",https://www.rxlist.com/adderall-xr-capsules-drug.htm
"Addyi (Flibanserin Tablets, for Oral Use)","flibanserin tablets, for oral use",Serotonin 5-HT-Receptor Agonists,The recommended dosage of Addyi is 100 mg taken once daily at bedtime.,"Addyi (flibanserin) is a multifunctional serotonin agonist and antagonist (MSAA) indicated for the treatment of premenopausal women with acquired, generalized hypoactive sexual desire disorder (HSDD) as characterized by low sexual desire that causes marked distress or interpersonal difficulty and is NOT due to: a co-existing medical or psychiatric condition, problems within the relationship, or the effects of a medication or other drug substance.","Addyi may cause serious side effects including: hives, difficulty breathing, swelling of your face, lips, tongue, or throat, blurred vision, confusion, dizziness, fainting, lightheadedness, sleepiness, unusual drowsiness, sweating, weakness, unusual tiredness, sensation of spinning, feeling of constant movement of self or surroundings, bloating, fever, nausea, severe cramping, lower abdominal pain, and vomiting Get medical help right away, if you have any of the symptoms listed above. Common side effects of Addyi include: dizziness, sleepiness, nausea, fatigue, insomnia, and dry mouth Other side effects of Addyi include:",https://www.rxlist.com/addyi-drug.htm
Adefovir Dipivoxil (Hepsera),adefovir dipivoxil,"Hepatitis B Hepatitis C Agents, Hepatitis B, NRTIs","The recommended dose of Hepsera in chronic hepatitis B patients 12 years of age and older with adequate renal function is 10 mg, once daily, taken orally.",Hepsera (adefovir dipivoxil) is an antiviral medication used to treat chronic hepatitis B in adults.,"Hepsera may cause serious side effects including: hives, difficulty breathing, swelling of your face, lips, tongue, or throat, unusual muscle pain, trouble breathing, stomach pain, vomiting, irregular heart rate, dizziness, cold feeling, feeling very weak, tiredness, little or no urination, swelling in your feet or ankles, shortness of breath, nausea, loss of appetite, stomach pain (upper right side), dark urine, and yellowing of the skin or eyes (jaundice) Get medical help right away, if you have any of the symptoms listed above. Common side effects of Hepsera include: weakness headache fever increased cough nausea vomiting stomach pain diarrhea gas skin rash or itching Seek medical care or call 911 at once if you have the following serious side effects:",https://www.rxlist.com/hepsera-drug.htm
Adempas (Riociguat Tablets),riociguat tablets,Soluble Guanylate Cyclase Stimulators,The recommended starting dosage of Adempas is 1 mg taken 3 times a day.,Adempas (riociguat) is a soluble guanylate cyclase stimulator used to treat adults with two forms of pulmonary hypertension.,"Common side effects of Adempas include: headache, dizziness, indigestion, upset stomach or stomach pain, swelling of the legs and feet, nausea, diarrhea, nausea, vomiting, dizziness, low blood pressure (hypotension), low levels of iron in the blood (anemia), gastroesophageal reflux disease (GERD), constipation, palpitations, stuffy nose, nosebleed, difficulty swallowing, abdominal bloating, and swelling of the extremities.",https://www.rxlist.com/adempas-drug.htm
Adenocard I.V. (Adenosine),adenosine,"Antidysrhythmics, V",The initial adult dose of Adenocard IV is 6 mg given as a rapid intravenous bolus (administered over a 1-2 second period). If the first dose does not result in elimination of the supraventricular tach,"Adenocard IV (adenosine) Injection is an antiarrhythmic drug used to treat paroxysmal supraventricular tachycardia (PSVT), including that associated with accessory bypass tracts (Wolff-Parkinson-White Syndrome). Adenocard IV is available in generic form.","Common side effects of Adenocard IV include: facial flushing, shortness of breath, chest pressure, chest pain, nausea, headache, sweating, palpitations, low blood pressure (hypotension), hyperventilation, head pressure, lightheadedness, dizziness, tingling in arms, numbness, apprehension, blurred vision, burning sensation, heaviness in arms, neck and back pain, metallic taste in mouth, tightness in throat, and pressure in groin.",https://www.rxlist.com/adenocard-drug.htm
Adenoscan (Adenosine Injection),adenosine injection,"Antidysrhythmics, V",The recommended intravenous dose of Adenoscan for adults is 140 mcg/kg/min infused for six minutes (total dose of 0.84 mg/kg). Tell your doctor all medications you are taking.,Adenoscan (adenosine injection) is a vasodilator used in combination with thallium-201 for nuclear heart stress tests when the patient is unable to exercise adequately.,"Adenoscan may cause serious side effects including: hives, difficulty breathing, swelling of your face, lips, tongue, or throat, severe shortness of breath, chest pain or tightness, pain spreading to your jaw or shoulder, fluttering in your chest, lightheadedness, seizure, severe headache, blurred vision, pounding in your neck or ears, sudden numbness, weakness, and problems with vision or speech Get medical help right away, if you have any of the symptoms listed above. Common side effects include: flushing, chest discomfort, shortness of breath, throat/neck/jaw discomfort, abdominal pain or discomfort, lightheadedness, dizziness, nausea, headache, upset stomach, pain at injection site, discomfort of the arms and hands, weakness, low blood pressure (hypotension), nervousness, and irregular heart beat Serious events have occurred with Adenoscan, such as fatal cardiac arrest, life-threatening ventricular arrhythmias, and heart attack.",https://www.rxlist.com/adenoscan-drug.htm
"Adenovirus (Adenovirus Type 4 and Type 7 Vaccine, Live, Oral Enteric Coated Tablets for Oral Administration)","adenovirus type 4 and type 7 vaccine, live, oral enteric coated tablets for oral administration","Vaccines, Inactivated, Viral, Vaccines, Live, Viral, Antineoplastics, Other",A single Adenovirus vaccine dose is administered orally as two tablets: one tablet of Adenovirus Type 4 and one tablet of Adenovirus Type 7.,"Adenovirus Type 4 and Type 7 Vaccine, Live, Oral Enteric Coated Tablets is a vaccine used for active immunization to prevent febrile acute respiratory disease caused by Adenovirus Type 4 and Type 7. Adenovirus Type 4 and Type 7 Vaccine, Live, Oral is approved for use in military populations 17 through 50 years of age.","Common side effects of Adenovirus Type 4 and Type 7 Vaccine include: headache stuffy or runny nose sore throat cough nausea diarrhea pain in the extremities, and fever",https://www.rxlist.com/adenovirus-drug.htm
Adhansia XR (Methylphenidate Hydrochloride Extended-release Capsules),methylphenidate hydrochloride extended-release capsules,"Stimulants, ADHD Agents",The recommended starting dose of Adhansia XR for patients 6 years and older is 25 mg once daily in the morning. The dosage of Adhansia XR may be increased in increments of 10 to 15 mg at intervals of,Adhansia XR (methylphenidate hydrochloride) is a central nervous system (CNS) stimulant indicated for the treatment of Attention Deficit Hyperactivity Disorder (ADHD) in patients 6 years and older. Adhansia XR is available in generic form.,"Adhansia XR may cause serious side effects including: hives, difficulty breathing, swelling of your face, lips, tongue, or throat, chest pain, trouble breathing, lightheadedness, hallucinations, new behavior problems, aggression, hostility, paranoia, numbness, pain, cold feeling, unexplained wounds, skin color changes (pale, red, or blue appearance) in your fingers or toes, and penis erection that is painful or last 4 hours or longer Get medical help right away, if you have any of the symptoms listed above. Common side effects of Adhansia XR include: insomnia, dry mouth, decreased appetite, and weight loss Seek medical care or call 911 at once if you have the following serious side effects:",https://www.rxlist.com/adhansia-xr-drug.htm
Adipex-P (Phentermine Hydrochloride),phentermine hydrochloride,,The recommended dose of Adipex-P is 30 mg once daily.,Adipex-P (phentermine) is an appetite suppressant used in combination with diet and exercise for the short-term treatment of obesity. A generic version of Adipex-P is available.,"Adipex-P may cause serious side effects including: feeling short of breath, chest pain, lightheadedness, swelling in your ankles or feet, pounding heartbeats, fluttering in your chest, tremors, feeling restless, trouble sleeping, unusual changes in mood or behavior, severe headache, blurred vision, pounding in your neck or ears, anxiety, and nosebleed Get medical help right away, if you have any of the symptoms listed above. Side effects of Adipex-P include: nausea, vomiting, upset stomach, diarrhea, dry mouth, constipation, an unpleasant taste in mouth, hives, impotence, palpitations, high blood pressure, hyperactivity, sleep problems (insomnia), restlessness, headache, tremors, dizziness, and increased or decreased interest in sex. Adipex-P has been associated with pulmonary hypertension and defects in heart valves.",https://www.rxlist.com/adipex-p-drug.htm
Adlarity (Donepezil Hydrochloride),donepezil hydrochloride,"Acetylcholinesterase Inhibitors, Central, Muscarinic Agonists","The recommended starting dosage of Adlarity is 5 mg/day. After 4 to 6 weeks, the dosage of Adlarity may be increased to the maximum recommended dosage of 10 mg/day.","Adlarity (donepezil transdermal system) is an acetylcholinesterase inhibitor indicated for the treatment of mild, moderate, and severe dementia of the Alzheimer's type.","Side effects of Adlarity include: nausea, diarrhea, insomnia, vomiting, muscle cramps, fatigue, and loss of appetite. Seek medical care or call 911 at once if you have the following serious side effects: Serious eye symptoms such as sudden vision loss, blurred vision, tunnel vision, eye pain or swelling, or seeing halos around lights; Serious heart symptoms such as fast, irregular, or pounding heartbeats; fluttering in your chest; shortness of breath; and sudden dizziness, lightheadedness, or passing out; Severe headache, confusion, slurred speech, arm or leg weakness, trouble walking, loss of coordination, feeling unsteady, very stiff muscles, high fever, profuse sweating, or tremors.",https://www.rxlist.com/adlarity-drug.htm
Adlyxin (Lixisenatide Injection),lixisenatide injection,"Antidiabetics, Glucagon-like Peptide-1 Agonists",The starting dose of Adlyxin is 10 mcg subcutaneously once daily for 14 days. Increase the dose to the maintenance dose of 20 mcg once daily starting on Day 15.,"Adlyxin (lixisenatide) Injection, for subcutaneous use acts as a GLP-1 receptor agonist indicated as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus.","Adlyxin may cause serious side effects including: hives, difficulty breathing, swelling of your face, lips, tongue, or throat, itching, severe rash, rapid heartbeats, trouble swallowing, severe pain in your upper stomach spreading to your back, nausea, vomiting, fast heart rate, headache, hunger, sweating, irritability, dizziness, nausea, fast heart rate, anxious, shakiness, little or no urination, painful or difficult urination, swelling in your feet or ankles, tiredness, and shortness of breath Get medical help right away, if you have any of the symptoms listed above. Common side effects of Adlyxin include nausea, vomiting, headache, diarrhea, dizziness, indigestion, constipation, abdominal distention, abdominal pain, injection site reactions (pain, itching, redness), hypoglycemia (low blood sugar – symptoms include headache, dizziness, drowsiness, confusion, weakness, irritability, hunger, sweating, fast heartbeat, feeling jittery), and severe allergic reaction (anaphylaxis). Seek medical care or call 911 at once if you have the following serious side effects:",https://www.rxlist.com/adlyxin-drug.htm
Admelog (Insulin Lispro Injection),insulin lispro injection,"Antidiabetics, Insulins, Antidiabetics, Rapid-Acting Insulins","The dosage of Admelog is individualized based on the route of administration and the individual's metabolic needs, blood glucose monitoring results and glycemic control goal.",Admelog (insulin lispro injection) is a rapid-acting human insulin analog indicated to improve glycemic control in adults and pediatric patients 3 years and older with type 1 diabetes mellitus and adults with type 2 diabetes mellitus.,"Admelog may cause serious side effects including: hives, difficulty breathing, swelling of your face, lips, tongue, or throat, redness or swelling where an injection was given, itchy skin rash over the entire body, fast heartbeats, lightheadedness, weight gain, swelling in your hands or feet, shortness of breath, headache, hunger, sweating, irritability, dizziness, anxiety, shakiness, leg cramps, constipation, irregular heartbeats, fluttering in your chest, increased thirst or urination, numbness or tingling, muscle weakness, and limp feeling Get medical help right away, if you have any of the symptoms listed above. Common side effects of Admelog include: low blood sugar - hypoglycemia signs and symptoms include: dizziness or lightheadedness, sweating, confusion, headache, blurred vision, slurred speech, shakiness, fast heartbeat, anxiety, irritability, hunger, or mood changes allergic reactions, injection site reactions, abnormal distribution of body fat (lipodystrophy), itching, rash, runny or stuffy nose, upper respiratory tract infection, weight gain, and swelling of extremities. Seek medical care or call 911 at once if you have the following serious side effects:",https://www.rxlist.com/admelog-drug.htm
Ado-trastuzumab Emtansine Injection for IV Use (Kadcyla),ado-trastuzumab emtansine injection for iv use,", Antineoplastics, Anti-HER2",Kadcyla is for intravenous infusion only. Kadcyla is given as an intravenous infusion in 21-day cycles.,Kadcyla (ado-trastuzumab emtansine) is a new class of chemotherapy drug called an antibody-drug conjugate used to treat breast cancer.,"Common side effects of Kadcyla include: fatigue, tiredness, nausea, musculoskeletal pain, headache, constipation, low platelet count, liver problems, low levels of red blood cells, nerve problems, and low levels of potassium in the blood. Seek medical care or call 911 at once if you have the following serious side effects: Serious eye symptoms such as sudden vision loss, blurred vision, tunnel vision, eye pain or swelling, or seeing halos around lights; Serious heart symptoms such as fast, irregular, or pounding heartbeats; fluttering in your chest; shortness of breath; and sudden dizziness, lightheadedness, or passing out; Severe headache, confusion, slurred speech, arm or leg weakness, trouble walking, loss of coordination, feeling unsteady, very stiff muscles, high fever, profuse sweating, or tremors. This document does not contain all possible side effects and others may occur. Check with your physician for additional information about side effects.",https://www.rxlist.com/kadcyla-drug.htm
Adoxa (Doxycyline Capsules),doxycyline capsules,Tetracyclines,,"Adoxa (doxycycline) is a tetracycline antibiotic used to treat many different bacterial infections, such as urinary tract infections, acne, gonorrhea, and chlamydia, periodontitis (gum disease), and others. Adoxa is also used to treat blemishes, bumps, and acne-like lesions caused by rosacea. Adoxa is available in generic form. Common side effects of Adoxa include:",,https://www.rxlist.com/adoxa-drug.htm
"Adrenaclick (Epinephrine Injection, USP Auto-injector)","epinephrine injection, usp auto-injector","Alpha/Beta Adrenergic Agonists, Alpha/Beta Agonists",Adrenaclick is capable of delivering one dose of either 0.15 mg or 0.3 mg (0.15 mL or 0.3 mL) of epinephrine. This dose is available for auto-injection by the patient. Selection of the appropriate Adr,"Adrenaclick (epinephrine) Auto-injector is a sympathomimetic catecholamine used in the emergency treatment of severe allergic reactions (Type I) including anaphylaxis to stinging or biting insects, allergen immunotherapy, foods, drugs, diagnostic testing substances, and other allergens, as well as anaphylaxis to unknown substances, or exercise-induced anaphylaxis. Adrenaclick is intended for immediate administration in patients with a history of anaphylactic reactions.","Adrenaclick may cause serious side effects including: hives, difficulty breathing, swelling of your face, lips, tongue, or throat, and pain, swelling, warmth, redness, or other signs of infection around the area where you gave an injection Get medical help right away, if you have any of the symptoms listed above. Common side effects of Adrenaclick include: anxiety apprehensiveness restlessness feeling over-excited fearful tremor shakiness weakness dizziness sweating rapid heartbeat (palpitations) irregular heartbeat pale skin (pallor) nausea and vomiting headache, or breathing difficulties Seek medical care or call 911 at once if you have the following serious side effects:",https://www.rxlist.com/adrenaclick-drug.htm
Adrenalin (Epinephrine),epinephrine,"Alpha/Beta Agonists, , Alpha/Beta Adrenergic Agonists",many different injectable forms including auto-injector systems that can be carried by those who are prone to serious allergic reactions,"Adrenalin (epinephrine) is a chemical that narrows blood vessels and opens airways in the lungs. These effects can reverse severe low blood pressure, wheezing, severe skin itching, hives, and other symptoms of an allergic reaction. An injection of adrenalin is used to treat severe allergic reactions (anaphylaxis) to insect stings or bites, foods, drugs, and other allergens.","Adrenalin may cause serious side effects including: pain, swelling, warmth, redness or signs of infection at the injection area, Get medical help right away, if you have any of the symptoms listed above. Side effects of Adrenalin include: anxiety, nervousness, headache, fear, palpitations, sweating, nausea and vomiting, pale skin, shortness of breath, dizziness, weakness, or tremors. Before using Adrenalin a second time, tell your doctor if your first injection caused serious side effects such as increased breathing difficulty, or dangerously high blood pressure (severe headache, blurred vision, buzzing in your ears, anxiety, confusion, chest pain, shortness of breath, uneven heartbeats, seizure).",https://www.rxlist.com/adrenalin-drug.htm
AdreView (Iobenguane I 123 Injection for Intravenous Use),iobenguane i 123 injection for intravenous use,How Do Diagnosing Imaging Agents Work?,"For adults ( ≥ 16 years of age), the recommended dose of AdreView is 10 mCi (370 MBq). For pediatric patients < 16 years of age weighing ≥ 70 kg, the recommended dose of AdreView is 10 mCi (370 MBq).",AdreView (iobenguane I 123) Injection is a diagnostic radiopharmaceutical used to detect certain kinds of cancer of the adrenal glands.,"AdreView may cause serious side effects including: hives, difficulty breathing, and swelling of your face, lips, tongue, or throat Get medical help right away, if you have any of the symptoms listed above. Common side effects of AdreView include: dizziness mild skin rash or itching bleeding around your IV needle, or flushing (warmth, tingling, or cold feeling) where the medicine was injected",https://www.rxlist.com/adreview-drug.htm
Adriamycin PFS (Doxorubicin hydrochloride),doxorubicin hydrochloride,"Antineoplastics, Anthracycline",Doxorubicin is given intravenously under physician supervision. Dose is determined by clinical factors.,Adriamycin PFS (doxorubicin hydrochloride) Injection is a cancer (antineoplastic) medication used to treat many types of cancer. The brand name Adriamycin PFS is discontinued in the U.S. Generic forms may be available.,"Adriamycin PFS may cause serious side effects including: dizziness, nausea, lightheadedness, sweating, headache, chest tightness, back pain, trouble bleeding, swelling in your face, pain, blisters, or skin sores where the injection was given, missed menstrual periods, easy bruising, unusual bleeding (nose, mouth, vagina, or rectum), purple or red pinpoint spots under your skin, fever, swollen gums, painful mouth sores, pain when swallowing, skin sores, cold or flu symptoms, cough, trouble breathing, fast heartbeats, shortness of breath, weakness, and swelling in your ankles or feet Get medical help right away, if you have any of the symptoms listed above. Common side effects of Adriamycin PFS (doxorubicin hydrochloride) include: nausea and vomiting (may be severe), diarrhea, loss of appetite, missed menstrual periods, darkening of your skin or nails, weakness, tiredness, eye redness, or puffy eyelids. Adriamycin PFS (doxorubicin hydrochloride) may give a reddish color to urine, tears, and sweat that may last up to several days. This is a normal side effect of Adriamycin PFS (doxorubicin hydrochloride) and should not be mistaken for blood in your urine. Temporary hair loss may occur. Normal hair growth should return after treatment with Adriamycin PFS has ended. Tell your doctor if you have serious side effects of Adriamycin PFS including:",https://www.rxlist.com/adriamycin-pfs-drug.htm
Adrucil (Fluorouracil Injection),fluorouracil injection,"Antineoplastics, Antimetabolite",The recommended dose and regimen for Adrucil (fluorouracil) depends on the condition being treated.,"Adrucil (fluorouracil injection) is a nucleoside metabolic inhibitor indicated for the treatment of patients with adenocarcinoma of the colon and rectum, adenocarcinoma of the breast, gastric adenocarcinoma, or pancreatic adenocarcinoma. The brand name Adrucil has been discontinued. It may be available in generic form.","Common side effects of Adrucil (fluorouracil) include: low red and white blood cells and platelets, gastrointestinal ulcers, nausea, vomiting, severe allergic reaction (anaphylaxis), other allergic reactions, involuntary eye movement, headache, dry or cracking skin, skin sensitivity to sunlight (redness or dark spots on skin), tear duct obstruction, changes in vision, tearing, eye sensitivity to light, euphoria, inflammation of veins caused by blood clots, nosebleed, and nail changes (including loss of nails).",https://www.rxlist.com/adrucil-drug.htm
"Adstiladrin (Nadofaragene Firadenovec-vncg Suspension, for Intravesical Use)","nadofaragene firadenovec-vncg suspension, for intravesical use",Biological Response Modifiers,"The dose is 75 mL of Adstiladrin at a concentration of 3 x 1011 viral particles (vp)/mL, instilled once every three (3) months.",Adstiladrin (nadofaragene firadenovec-vncg) is a non-replicating adenoviral vector-based gene therapy indicated for the treatment of adult patients with high-risk Bacillus Calmette-Guérin (BCG)-unresponsive non-muscle invasive bladder cancer (NMIBC) with carcinoma in situ (CIS) with or without papillary tumors.,"Adstiladrin may cause serious side effects including: hives, difficulty breathing, swelling of your face, lips, tongue, or throat, urinary urgency, urinary incontinency, urinary frequency, blood in your urine, pain or discomfort when urinating, abnormal lab results, weakness, shortness of breath, and fast heart rate Get medical help right away, if you have any of the symptoms listed above. Side effects of Adstiladrin include: instillation site discharge, fatigue, bladder spasm, urinary urgency, blood in urine, chills, fever, painful urination, increased blood sugar, increased triglycerides, increased creatinine, and decreased phosphate. Seek medical care or call 911 at once if you have the following serious side effects:",https://www.rxlist.com/adstiladrin-drug.htm
"Adthyza (Thyroid Tablets, USP)","thyroid tablets, usp",Thyroid Products,The dosage of Adthyza is determined by the indication and must in every case be individualized according to patient response and laboratory findings.,"Adthyza (thyroid tablets) is a thyroid hormone preparation used as replacement or supplemental therapy in patients with hypothyroidism of any etiology, except transient hypothyroidism during the recovery phase of subacute thyroiditis. This category includes cretinism, myxedema, and ordinary hypothyroidism in patients of any age (children, adults, the elderly), or state (including pregnancy); primary hypothyroidism resulting from functional deficiency, primary atrophy, partial or total absence of thyroid gland, or the effects of surgery, radiation, or drugs, with or without the presence of goiter; and secondary (pituitary), or tertiary (hypothalamic) hypothyroidism. Adthyza is also used as pituitary TSH suppressants, in the treatment or prevention of various types of euthyroid goiters, including thyroid nodules, subacute or chronic lymphocytic thyroiditis (Hashimoto’s), multinodular goiter, and in the management of thyroid cancer.","Side effects of Adthyza are rare. Tell your doctor if you experience any adverse reactions when taking Adthyza. Seek medical care or call 911 at once if you have the following serious side effects: Serious eye symptoms such as sudden vision loss, blurred vision,tunnel vision,eye painor swelling, or seeing halos around lights; Serious heart symptoms such as fast, irregular, or pounding heartbeats; fluttering in your chest; shortness of breath; and sudden dizziness, lightheadedness, or passing out; Severe headache,confusion, slurred speech, arm or leg weakness, trouble walking, loss of coordination, feeling unsteady, very stiff muscles, high fever, profuse sweating, or tremors. This document does not contain all possible side effects and others may occur. Check with your physician for additional information about side effects.",https://www.rxlist.com/adthyza-drug.htm
Aducanumab (Aduhelm),aducanumab,Monoclonal Antibodies,"ADUHELM is a clear to opalescent and colorless to yellow solution, available as: Injection: 170 mg/1.7 mL (100 mg/mL) in a single-dose vial Injection: 300 mg/3 mL (100 mg/mL) in a single-dose vial",Aduhelm (aducanumab-avwa) is an amyloid beta-directed antibody indicated for the treatment of Alzheimer’s disease.,,https://www.rxlist.com/aduhelm-drug.htm
Advair Diskus (Fluticasone Propionate),fluticasone propionate,"Respiratory Inhalant Combos, COPD Agents, Respiratory Inhalant Combos","For patients aged 12 years and older, the dosage of Advair Diskus is 1 inhalation twice daily, approximately 12 hours apart.","Advair Diskus (fluticasone and salmeterol oral inhaler) is a combination of a corticosteroid and a beta2-adrenergic bronchodilator used to treat asthma and chronic bronchitis, including COPD associated with chronic bronchitis. Advair Diskus is used in patients whose symptoms are not adequately controlled on a long-term asthma control medication, since one of the active ingredients in salmeterol is LABA, which has been linked to asthma-related deaths. Advair Diskus should not be used to treat acute episodes of asthma or COPD. Advair Diskus is available in generic form.","Advair Diskus may cause serious side effects including: wheezing, choking, breathing problems after using the medication, fever, chills, cough with mucus, feeling short of breath, chest pain, fast or irregular heartbeats, severe headache, pounding in your neck or ears, tremors, nervousness, blurred vision, tunnel vision, eye pain, seeing halos around lights, sores or white patches in your mouth or throat, trouble swallowing, increased thirst, increased urination, dry mouth, fruity breath odor, leg cramps, constipation, fluttering in your chest, numbness or tingling, muscle weakness or limp feeling, worsening tiredness or weakness, lightheadedness, nausea, and vomiting Get medical help right away, if you have any of the symptoms listed above. Side effects of Advair Diskus include: upper respiratory tract infections, headaches, dizziness, nausea, vomiting, stomach upset, diarrhea, yeast infections of the mouth or throat (oral thrush), sore throat, dry mouth/nose/throat, stuffy nose, sinus pain, cough, sore throat, hoarseness or deepened voice, and musculoskeletal pain. Seek medical care or call 911 at once if you have the following serious side effects:",https://www.rxlist.com/advair-diskus-drug.htm
Advair HFA (Fluticasone Propionate and Salmeterol),fluticasone propionate and salmeterol,"Respiratory Inhalant Combos, COPD Agents, Respiratory Inhalant Combos","For patients aged 12 years and older, the dosage of Advair HFA is 2 inhalations twice daily, approximately 12 hours apart.",Advair HFA (salmeterol and fluticasone) contains a combination of a corticosteroid and a beta2-adrenergic bronchodilator used for treating asthma and chronic bronchitis.,"Side effects of Advair HFA include: upper respiratory tract infections, headaches, dizziness, nausea, vomiting, diarrhea, dry mouth/nose/throat, stuffy nose, sinus pain, sore throat, hoarseness or deepened voice, oral thrush (mouth or throat candidiasis), and musculoskeletal pain. Use of long acting agents like salmeterol in Advair HFA may increase the risk of asthma-related death. Tell your doctor if you have unlikely but serious side effects of Advair HFA including: signs of infection (such as fever, persistent sore throat), mental/mood changes (such as nervousness), trouble sleeping, vision problems (such as blurred vision), increased thirst or urination, muscle cramps, or shaking (tremors).",https://www.rxlist.com/advair-hfa-drug.htm
